22_M139-15_IntMac	23_M139-15_AlvMac	26_M163-10_IntMac	27_M163-10_AlvMac	30_M59-16_IntMac	31_M59-16_AlvMac
ENSMMUG00000058340	1.61577995189872	2.12397195777989	1.6225041724229	1.8609070872305	1.69150661831448	2.10037456657706
GCSAML	2.93643693822219	3.68462715342554	2.9104445634382	4.20838564091145	3.25166793993362	4.96943934074657
ENSMMUG00000012954	-0.605182011093285	-0.4246527272324	-0.604098580116451	-0.545713861477981	-0.604420931313568	-0.604566467274134
ENSMMUG00000060427	-0.279057783621991	-0.279319053384391	-0.0986044533314495	-0.168349082472784	-0.278173349161605	-0.278342569472631
OR2B11	0.601814558048016	0.375026963459495	0.610165202169665	0.376379627414915	0.376857708658445	0.376587415397377
NLRP3	12.9455993270136	9.49055598976254	12.7684135276389	8.91122248726334	12.8369994541676	9.16656849744432
ZNF496	4.81119720971929	5.38165951534752	5.90118403930404	6.15722587893886	4.24595063176559	5.6981757827597
ENSMMUG00000058602	0	0	0	0	0	0
ENSMMUG00000059322	6.53994472692188	6.94564199290943	7.1099762482939	7.49609231052175	6.79446692500026	6.93768427903281
ZNF124	4.90806037865084	5.86202270091153	4.54044491856559	6.11763059974979	4.87616792950794	5.96581114658899
ENSMMUG00000058214	0.402288418180774	0.577250800589998	0.468843049212361	0.513697758102869	0.520412676330599	0.403442222607063
ENSMMUG00000023311	5.96081390409225	5.83101627975828	5.83648139419156	5.72356582225122	6.1697916661245	5.5041245959406
ZNF670	4.96636434937797	5.46130499761485	5.25753718917485	5.09681763401028	4.99306666113764	5.07059112588595
ENSMMUG00000054567	0	0	0	0	0	0
ENSMMUG00000031191	0.891273317097408	0.939233396726043	1.13162597606111	0.892658329145705	1.16392367015612	1.00866746611372
AHCTF1	9.80208529471235	9.39074007801785	9.30451564879862	9.45971557233379	9.22142153575006	9.36289237484642
ENSMMUG00000049281	-1.97649709416845	-1.97717357602366	-1.9736757998027	-1.9550101797761	-1.97445122972539	-1.97481739351264
